db,lang,pair_id,comet_score,src,mt
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,fa0e10bc,0.815485954284668,"Provide the area, production, and yield statistics for maize and barley in Chhattisgarh for the year 1970.","छत्तीसगढमध्ये १९७० साली मका आणि जव यांचे क्षेत्रफळ, उत्पादन आणि उत्पादनाचे आकडे द्या."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,280e8bab,0.8137855529785156,"Provide the maize and barley production and area statistics for all districts in Chhattisgarh for the year 1970, sorted by district name.","चंद्रपूर जिल्ह्यातील सर्व जिल्ह्यांसाठी 1970 सालच्या मक्याच्या व जवाच्या उत्पादनाची आणि क्षेत्राची आकडेवारी, जिल्ह्याच्या नावानुसार क्रमवारीत प्रदान करा."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,77e4daea,0.7240325212478638,"For the year 1970 in Chhattisgarh, provide the production statistics for maize and barley across districts where more than 2,000 hectares were dedicated to maize, sorted by the largest maize area.","१९७० सालातील छत्तीसगढ राज्यातील मक्याच्या पिकासाठी २,००० हेक्टरपेक्षा जास्त क्षेत्र असलेल्या जिल्ह्यांमध्ये, मक्या आणि जवस यांच्या उत्पादनाची आकडेवारी मक्याच्या क्षेत्रफळानुसार उतरत्या क्रमाने द्या."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,5dabf3f5,0.8496235609054565,Compare the average yields of rice and maize for each state during the year 1970.,१९७० सालातील प्रत्येक राज्यातील तांदूळ आणि मका यांच्या सरासरी उत्पादनांची तुलना करा.
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,dc18d5c6,0.8142144680023193,"Provide a state-wise comparison of the average rice and maize yields for the year 1970, ordered alphabetically by state name.","१९७० सालच्या तांदूळ आणि मका यांच्या सरासरी उत्पन्नाची राज्यनिहाय तुलना, राज्यांच्या नावानुसार वर्णक्रमाने द्या."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,ed6c8474,0.8217067718505859,"For the year 1970, provide a state-wise breakdown of the average yields for rice and maize, sorted alphabetically by state name.","१९७० या वर्षासाठी, राज्यनिहाय तांदूळ आणि मका यांच्या सरासरी उत्पन्नाची माहिती राज्यांच्या नावानुसार वर्णक्रमाने द्या."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,e7da04e8,0.8866457343101501,Which districts in Chhattisgarh achieved a rice yield exceeding 828.55 kg per hectare during the year 1970?,छत्तीसगढमध्ये १९७० साली कोणत्या जिल्ह्यांनी प्रति हेक्टर ८२८.५५ किलोग्रामपेक्षा जास्त भात उत्पन्न मिळवले?
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,78258cb9,0.8878090381622314,Which districts in Chhattisgarh achieved a rice yield exceeding 337.59 kg per hectare during the year 1970?,छत्तीसगढमधील कोणत्या जिल्ह्यांनी १९७० साली प्रति हेक्टर ३३७.५९ किलोपेक्षा जास्त भात उत्पादन मिळवले?
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,3afe402a,0.8062314987182617,"Identify the districts in Chhattisgarh that achieved an average rice yield greater than 337.59 kg per hectare in 1970, ranked from highest to lowest yield.","चत्तीसगडातील जिल्हे ओळखा ज्यांनी १९७० मध्ये ३३७.५९ किलोग्राम प्रति हेक्टरच्या सरासरी धान्य उत्पादनापेक्षा जास्त उत्पादन मिळवले, उत्पादनाच्या उच्च ते निम्न क्रमाने मांडा."
INDIA_ICRISAT_District_Level_Agricultural_Data,Marathi,af00268d,0.8356583714485168,"Rank the districts in Chhattisgarh by their rice yield for the year 1970, from highest to lowest.",छत्तीसगढमधील जिल्ह्यांची १९७० सालच्या तांदळाच्या उत्पादनानुसार उच्चतम ते निम्नतम क्रमवारी लावा.
